datetime,date,hour,total emojis,average emojis,total score,average scores,average body length
2013-02-12T21,2013-02-12,21,3041,1.9481101857783472,6099,3.9071108263933376,181.26841768097373
2013-02-08T08,2013-02-08,08,7863,1.344792201128784,25856,4.42209680177869,167.7444843509492
2013-02-21T09,2013-02-21,09,8729,1.4710144927536233,32752,5.51937984496124,166.47000337040782
2013-02-18T16,2013-02-18,16,5995,1.399393090569561,23920,5.583566760037348,152.7217553688142
2013-02-19T08,2013-02-19,08,8056,1.4183098591549297,35724,6.28943661971831,172.32922535211267
2013-02-18T18,2013-02-18,18,4419,1.4384765625,15541,5.058919270833333,174.15462239583334
2013-02-04T11,2013-02-04,11,5329,1.1645541958041958,25991,5.679851398601398,134.6737325174825
2013-02-11T09,2013-02-11,09,6633,1.3250099880143826,29676,5.928086296444267,157.98302037554933
2013-02-26T12,2013-02-26,12,7506,1.3344,33584,5.970488888888889,153.80764444444443
2013-02-27T20,2013-02-27,20,2951,1.6178728070175439,11712,6.421052631578948,173.76151315789474
2013-02-12T22,2013-02-12,22,2704,1.5887191539365453,10576,6.213866039952997,169.45652173913044
2013-02-02T01,2013-02-02,01,5348,1.4851430158289365,17168,4.767564565398501,172.45126353790613
2013-02-25T01,2013-02-25,01,4374,1.6953488372093024,13605,5.273255813953488,156.55620155038758
2013-02-01T17,2013-02-01,17,4546,1.2571902654867257,16562,4.580199115044247,159.3116703539823
2013-02-03T18,2013-02-03,18,4552,1.5127949484878698,12367,4.110003323363244,172.6045197740113
2013-02-06T04,2013-02-06,04,7454,1.375023058476296,29451,5.432761483121196,175.4821988562996
2013-02-16T06,2013-02-16,06,7465,1.3826634561955917,38012,7.0405630672346735,165.84385997406926
2013-02-28T03,2013-02-28,03,9886,1.816611539875046,34087,6.263689819919147,182.27618522601983
2013-02-08T01,2013-02-08,01,6690,1.7582128777923784,28128,7.392378449408673,175.3059132720105
2013-02-20T16,2013-02-20,16,7443,1.4966820832495475,22423,4.5089483209330385,163.08023325960184
2013-02-19T23,2013-02-19,23,2799,1.3430902111324377,9344,4.483685220729367,181.3795585412668
